,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Sources
0,Spigelia anthelmia,Spigelia anthelmia,318920-2,318920-2,Species,Manual
1,Strychnos aculeata,Strychnos aculeata,547024-1,547024-1,Species,Manual
2,Strychnos brasiliensis,Strychnos brasiliensis,547081-1,547081-1,Species,Manual
3,Strychnos camptoneura,Strychnos camptoneura,547094-1,547094-1,Species,Manual
4,Strychnos croatii,Strychnos croatii,247298-2,247298-2,Species,Manual
5,Strychnos diplotricha,Strychnos diplotricha,547162-1,547162-1,Species,Manual
6,Strychnos fendleri,Strychnos fendleri,247306-2,247306-2,Species,Manual
7,Strychnos henningsii,Strychnos henningsii,547225-1,547225-1,Species,Manual
8,Strychnos icaja,Strychnos icaja,547240-1,547240-1,Species,Manual
9,Strychnos innocua,Strychnos innocua,547244-1,547244-1,Species,Manual
10,Strychnos lucida,Strychnos lucida,547295-1,547295-1,Species,Manual
11,Strychnos mitis,Strychnos mitis,547340-1,547340-1,Species,Manual
12,Strychnos myrtoides,Strychnos myrtoides,547356-1,547356-1,Species,Manual
13,Strychnos nux-blanda,Strychnos nux-blanda,547370-1,547370-1,Species,Manual
14,Strychnos nux-vomica,Strychnos nux-vomica,547371-1,547371-1,Species,Manual
15,Strychnos panamensis,Strychnos panamensis,547390-1,547390-1,Species,Manual
16,Strychnos potatorum,Strychnos potatorum,547420-1,547420-1,Species,Manual
17,Strychnos pseudoquina,Strychnos pseudoquina,547425-1,547425-1,Species,Manual
18,Strychnos spinosa,Strychnos spinosa,547485-1,547485-1,Species,Manual
19,Strychnos trinervis,Strychnos trinervis,77221793-1,77221793-1,Species,Manual
20,Strychnos usambarensis,Strychnos usambarensis,547543-1,547543-1,Species,Manual
21,Strychnos wallichiana,Strychnos wallichiana,547566-1,547566-1,Species,Manual
22,Usteria guineensis,Usteria guineensis,547612-1,547612-1,Species,Manual
